Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
1-134,Комета Аренда-Риго(Arend-Rigaux),7h53m,32.15,2-3.03.1951,8.7m; 9m,12h16.3; 12h54m,12h25.0; 13h03,12h16m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=-7C, U=-5m.4, фокус .56, пластинки Astro platten, прозрачность плохая, туман, метод Меткофа",
1-136,Комета Аренда-Риго(Arend-Rigaux),7h53m,31.48,2-3.03.1951,11m,13h48m,13h59m,14h48m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=-7C, U=-5m.4, фокус .56, пластинки Astro platten, прозрачность плохая, туман, метод Меткофа",
1-140,Комета Аренда-Риго(Arend-Rigaux),7h58m,32.15,4-5.03.1951,16m,9h52m,10h08m,9h52m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,"Рожковский Д.А., Торопова Т.П.","t= -8C, U= -5m.4, фокус .55, пластинки Astro platten",
1-156,Комета Аренда-Риго(Arend-Rigaux),8h26m,33.48,24-25.03.1951,5m;5m;5m,8h32; 8h47; 8h57,8h37; 8h52; 9h02,8h32m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -2C, U= -5m.27s, фокус .50, пластинки Astro uns",
1-171,Комета Аренда-Риго(Arend-Rigaux),8h40.8m,32.57,30-31.03.1951,8m; 8m,9h42; 10h24,10h00; 10h42,8h42m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," U= -5m.25s, фокус .625, пластинки Astro uns",
1-167,Комета Аренда-Риго(Arend-Rigaux),8h37m,32.48,28-29.03.1951,7m; 7m,11h16m; 11h24.5,11h23m; 11h31.5,11h 16m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," U= -5m.26s, фокус .59, пластинки Astro uns",
1-173,Комета Аренда-Риго(Arend-Rigaux),8h40m,32.57,31.03-1.04.1951,18m; 18m,9h15m; 9h53m,9h33m; 10h11m,9h15m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=+1,5; U=  , фокус .58",
1-179,Комета Аренда-Риго(Arend-Rigaux),8h49m,32.42,5-6.04.1951,5.4m; 5.4m,9h38.6;10h03.6,9h44.0; 10h09.0,9h38 m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 5C, U= -5m.25s,  пластинки Panchrom",
1-180,Комета Аренда-Риго(Arend-Rigaux),8h49m,32.42,5-6.04.1951,5.4m; 5.4m,10h50.6;11h15.6,10h56.0; 11h21.0,10h50m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= 5C, U= -5m.25s,  пластинки Panchrom",
1-186,Комета Аренда-Риго(Arend-Rigaux),9h27m,29.0,25-26.04.1951,30m,11h44m,12h14m,11h44m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," U= +12s, фокус .58, пластинки Astro uns",
1-188,Комета Аренда-Риго(Arend-Rigaux),9h30m,30.48,26-27.04.1951,28m,11h24m,11h52m,11h24m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +11C, U= +13s, фокус .58, пластинки Astro uns",
1-189,Комета Аренда-Риго(Arend-Rigaux),9h36m,30.15,26-27.04.1951,15m,13h28m,13h43m,13h28m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +11C, U= +13s, фокус .58, пластинки Astro uns, недопроявлена",
1-133,Комета Аренда-Риго-Дубяго 49P/1951 C2(Arend-Rigo-Dubyago),7h48m,30.42,28.02-01.03.1951,9m; 9m,9h33m; 10h03m,9h42m; 10h12m,9h33m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -10C, U= -5m.24s, фокус .55, пластинки Astro platten, метод Меткофа",
1-143,Комета Аренда (Arenda),8h06m,32.21,10-11.03.1951,7m; 7m,9h28m; 10h07m,9h35m; 10h14m,9h28m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -3C, U= -5m.25s, фокус .59, пластинки Astro uns, легкий туман, комета не найдена",
1-359,Комета Аренда (Arenda),,,24-25.11.1951,10m,23h52m,00h02m,23h52m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=+1,5; U=  , фокус .62",
1-363,Комета Аренда (Arenda),,,25-26.11.1951,10m,00h09m20s,00h19m20s,00h09m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=+2C, скол края фотопластинки",
1-155,Комета Пайдушковой С/1951 С1(Paiduskova),4h01m.5,54.51,25-26.03.1951,5m; 5m,8h04m; 8h12m,8h09m; 8h17m,8h04m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -2C, U= -5m.27s, фокус .50, пластинки Astro uns",
1-159,Комета Пайдушковой С/1951 С1(Paiduskova) ,4h22m.4,53.39,26-27.03.1951,30m,8h40m,9h10m,8h40m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Торопова Т.П.," t=+0,5; U= -5m25s , фокус .54,  снимкок имеет стандарт с номером 9-160-st",
1-165,Комета Пайдушковой С/1951 С1 (Paiduskova),4h36m.2,52.27,28-29.03.1951,30m,8h30m,9h00m,8h30m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Торопова Т.П.," U= -5m.26s, фокус .59, пластинки Astro uns",
1-187,Комета Пайдушковой С/1951 С1(Paiduskova) ,6h29m.5,35.06,26-27.04.1951,20m40s,10h40m50s,11h01m30s,10h40m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Торопова Т.П.,"t= +11C, U= +13s, фокус .58, пластинки Astro uns, скол края пластинки",
1-174,Комета Понс-Виннеке (Pons-Winnecke),10h30m,43.40,31.03-1.04.1951,18m; 18m,110h27m;11h35m,10h45m; 11h53m,10h27m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=+1,5; U=  , фокус .58, комета не найдена",
1-172,Комета Понс-Виннеке (Pons-Winnecke),10h30m,43.40,30-31.03.1951,10m; 10m,11h04m; 12h09m,11h14m; 12h19m,11h04m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"U= -5m.25s, фокус .625, пластинки Astro uns, комета не найдена, метод Меткофа",
1-144,Комета Копфа  22P (Kopff),12h39m,-15.00,10-11.03.1951,5m; 4m; 5m,10h28m;10h36m;14h41m,10h33m;10h40m;14h46m,10h28m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -3C, U= -5m.25s, фокус .59, пластинки Astro uns, легкий туман, комета не найдена, метод Меткофа",
1-193,Комета Копфа  22P (Kopff),11h54m,-10.25,1-2.05.1951,20m; 20m,12h03m; 13h31m,12h23m; 13h51m,12h03m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=+6; комета не найдена, метод Меткофа",
1-233,Комета Копфа  22P (Kopff),12h20m.5,-7.00,1-2.07.1951,20m,15h57m,16h17m,15h57m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=+18; U= +3m.4 , фокус .72, комета не найдена",
1-184,Комета Темпель II  10P (Tempel),14h58m,03.06,10-11.04.1951,20m; 20m,14h16m; 15h07m,14h36m; 15h27m,14h16m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t=+8;  фокус .57, комета не найдена,метод Меткофа ",
1-249,Комета Неуймина 3 (Neujmin),22h52m,-5.15,6-7.07.1951,10m,21h47m,21h57m,21h47m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=+15; U=+3m23s, фокус .70, сильный ветер, рассвет",
1-317,Комета Неуймина 3(Neujmin),22h40m,-8.33,26-27.09.1951,12m; 12m,22h13m; 23h10m,22h25m; 23h22m,22h13m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=+19; U=+2m.4, фокус .68, пластинки Jsopan JSS",
1-93,Комета Энке   2P (Encke),23h02m,4.18,8-9.01.1951,20m,1h58m,2h18m,1h58m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.," t=-9; U=-1m35s, фокус .55, пластинки Panchrom",
1-122,Комета Энке   2P (Encke),00h16m,09.06,23-24.02.1951,6m,4h59m,5h05m,4h59m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -10; U= -5m23s, фокус .54, метод Меткофа",
1-127,Комета Энке   2P (Encke),00h20m,09.12,26-27.02.1951,8m,5h13m.6,5h21m.6,5h13m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= -3C; U= -5m26s, фокус .44, пластинки Astro platten, на эмульсии брак, метод Меткофа",
1-200,Комета Энке   2P (Encke),22h35m,-20.37,14-15.06.1951,18m; 5m,19h42m; 20h01m,20h00m; 20h06m,19h42m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"U= +3m18s, фокус .71,  повреждена эмульсия, край пластинки вне фокуса, рассвет, метод Меткофа",
1-203,Комета Энке   2P (Encke),22h32m,-21.00,15-16.06.1951,14m,19h51m,20h05m,19h51m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +11C,  U= +3m13s, фокус .58, легкие облака, край пластинки затемнен, рассвет, метод Меткофа",
1-202,Комета Энке   2P (Encke),22h32m,-21.00,15-16.06.1951,23m,19h26m,19h49m,19h26m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +11C,  U= +3m13s, фокус .58, легкие облака, рассвет, метод Меткофа",
1-224,Комета Энке   2P (Encke),22h14m,-23.22,29-30.06.1951,30m,20h31m.4,21h01m.4,20h28m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +11C,   фокус .72, подсвечивает луна, рассвет",
1-225,Комета Энке   2P (Encke),22h14m,-23.22,29-30.06.1951,10m,21h06m.4,21h16m.4,21h06m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +11C,   фокус .72, подсвечивает луна, рассвет",
1-231,Комета Энке   2P (Encke),22h14m,-23.22,30.06.-1.07.1951,35m30s,20h06m30s,20h42m.0,20h06m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +13C,   U= +3m.4, вздулась эмульсия, рассвет",
1-232,Комета Энке   2P (Encke),22h14m,-23.22,30.06.-1.07.1951,22m,20h46m.5,21h08m.5,20h46m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +13C,   U= +3m.4, вздулась эмульсия, рассвет",
1-240,Комета Энке   2P (Encke),22h15m,-23.35,1-2.07.1951,31m,20h03m,20h34h,20h03m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +18C,   U= +3m.4, фокус .72, облака, рассвет",
1-241,Комета Энке   2P (Encke),22h15m,-23.35,1-2.07.1951,20m,20h51m,21h11m,20h51m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +18C,   U= +3m.4, фокус .72, облака, рассвет",
1-258,Комета Энке   2P (Encke),21h45m,-26.08,12-13.07.1951,34m,20h28m,21h02m,20h28m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А., рассвет,
1-259,Комета Энке   2P (Encke),21h45m,-26.08,12-13.07.1951,43m,21h05m,21h48m,21h05m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А., рассвет,
1-63,Комета Холмса (Holmes),4h33m,50.00,8-9.11.1950,11m; 11m,1h36m; 2h25m,1h47m; 2h36m,1h36m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +0.5C,   U= +3m, фокус .67, легкие облака",
1-183,Комета Отерма (Oterma),,,8-9.04.1951,21m; 21m,12h04m; 13h11m,12h25m; 13h30m,12h04m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +8C,   U= -3m40s, фокус .58, стандарт 9-182-st, прозрачность к горизонту  ухудшается",
1-390-I,Комета Григга (Grigg),,,8-9.12.1951,16m,8h40m,8h56m,8h40m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2.5C,   U= +44s, фокус .65.5, стандарт 9-182, легкие облака",
1-390-II,Комета Григга (Grigg),,,8-9.12.1951,23m.4,9h01m.6,9h25m.0,9h01m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2.5C,   U= +44s, фокус .65.5, стандарт 9-182, легкие облака",
1-390-III,Комета Григга (Grigg),,,8-9.12.1951,20m,9h31m,9h51m,9h31m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2.5C,   U= +44s, фокус .65.5, стандарт 9-182, легкие облака",
1-389,Комета Григга (Grigg),,,8-9.12.1951,23m.7,8h11m.3,8h35m,8h11m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2.5C,   U= +44s, фокус .65.5, стандарт 9-182, легкие облака",
1-197,Комета Кресак (41P/Tuttle-Giacobini-Kresák),9h40m,33.18,9-10.05.1951,10m;7m;10m,13h53m;14h10m;14h18m,14h03m;14h17m;14h28m,13h53m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"фокус .56,   облачно. ветер, метод Меткофа",
1-1705,Комета Аренда-Роланда (Arend-Roland),1h24m,24.30,22-23.11.1956,10m,0h36m,0h46m,0h36m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= +8C,   U= +2m22s.6, фокус .88",
1-196,Ком. Швассмана-Вахмана (Schwassmann-Wachmann),11h01m,-0.30,3-4.05.1951,20m,11h54m,12h14m,11h54m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +11C,   U= +13s, фокус .57",
1-388,Ком. Григга-Швелеруппа (Grigg-Skjellerup),,,4-5.12.1951,30m,9h00m,9h30m,9h00m,"9,7*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +2C,   U= +40s, фокус .63",
1-3090,Комета Килстона ( Kilston),17h56m,20.00,14-15.08.1966,14m,20h40m,20h54m,20h40m,"8,9*9,7 cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= +17C,пластинки Astro ZU-1 uns,  стандарт 1-3091 + калибровка  ",
